target, context
"The coffee is hot"," is a regular at the coffee shop and buys a cup of coffee."
"The coffee is hot"," takes a sip of their friend&quotechars coffee before returning back to their tea."
"The weather is cold"," just flew into New York from Florida."
"The weather is cold"," was raised in Russia."
"The necklace is expensive"," is browsing at a jewelry store and stops to look at a necklace."
"The necklace is expensive"," is buying a diamond necklace."
"The ticket is cheap"," is buying a movie ticket."
"The ticket is cheap"," got pulled over by a police officer."
"This is a long car ride"," is driving across the country."
"This is a long car ride"," is driving to work."
"The office is open late"," is making a doctor&quotechars appointment."
"The office is open late"," works at a call center."
" is tall"," is 4 years old."
" is tall"," is 26 years old."
" is short"," is a greyhound."
" is short"," is a professional basketball player."
" is heavy"," is a person."
" is heavy"," is a dancer."
