workerid,target,condition,response,context,names
0,The coffee is hot, relative to ,temperature, is a regular at the coffee shop and buys a cup of coffee.,Stephanie
0, is tall, relative to ,other ppeople, is 26 years old.,"Eric,Laura"
0,The coffee is hot, relative to ,tea , takes a sip of their friend's coffee before returning back to their tea.,Alexander
0, is heavy, relative to ,people, is a person.,"Lee,Monica"
0, is short, relative to ,people, is a professional basketball player.,"Daniel,David"
0,This is a long car ride, relative to ,driving to work , is driving to work.,Cameron
0,This is a long car ride, relative to ,country, is driving across the country.,Kathleen
0,The ticket is cheap, relative to ,other tickets, got pulled over by a police officer.,Tom
0,The necklace is expensive, relative to ,diamond necklaces, is buying a diamond necklace.,Gabriel
0, is heavy, relative to ,other dancers , is a dancer.,"Julia,Stephen"
0,The office is open late, relative to ,other offices, is making a doctor's appointment.,Melinda
0,The weather is cold, relative to ,Russia , was raised in Russia.,Jennifer
0,The necklace is expensive, relative to ,Others, is browsing at a jewelry store and stops to look at a necklace.,Angela
0, is tall, relative to ,people, is 4 years old.,"John,Maya"
0,The office is open late, relative to ,call centers, works at a call center.,William
0,The ticket is cheap, relative to ,tickets , is buying a movie ticket.,Claire
0,The weather is cold, relative to ,New York, just flew into New York from Florida.,Anthony
0, is short, relative to ,other dogs, is a greyhound.,"Michael,Greg"
1,The necklace is expensive, for a ,diamond, is buying a diamond necklace.,Claire
1,The ticket is cheap, for a ,movie, is buying a movie ticket.,John
1,This is a long car ride, for a ,work trip, is driving to work.,Angela
1, is tall, for a ,woman, is 26 years old.,"Laura,Lucas"
1,The weather is cold, for a ,Russia, was raised in Russia.,Gabriel
1,The office is open late, for a ,call center, works at a call center.,Sophia
1, is heavy, for a ,dancer, is a dancer.,"Jennifer,David"
1,The weather is cold, for a ,New York trip, just flew into New York from Florida.,Michael
1,The office is open late, for a ,doctor's, is making a doctor's appointment.,Melinda
1, is heavy, for a ,woman, is a person.,"Maya,Monica"
1,The ticket is cheap, for a ,police officer, got pulled over by a police officer.,Daniel
1,The necklace is expensive, for a ,jewelry, is browsing at a jewelry store and stops to look at a necklace.,Eric
1,The coffee is hot, for a ,drink, is a regular at the coffee shop and buys a cup of coffee.,Kathleen
1,This is a long car ride, for a ,trip across the country, is driving across the country.,Kim
1, is short, for a ,greyhound, is a greyhound.,"Cameron,Anthony"
1, is tall, for a ,for a 4 year old, is 4 years old.,"Greg,Alicia"
1,The coffee is hot, for a ,drink, takes a sip of their friend's coffee before returning back to their tea.,Alexander
1, is short, for a ,basketball player, is a professional basketball player.,"Veronica,Michelle"
2, is tall, relative to ,william's height, is 4 years old.,"Daniel,William"
2,The ticket is cheap, relative to ,other tickets, got pulled over by a police officer.,John
2,The necklace is expensive, relative to ,other necklaces, is browsing at a jewelry store and stops to look at a necklace.,Michael
2,The necklace is expensive, relative to ,other necklaces, is buying a diamond necklace.,Laura
2,The weather is cold, relative to ,florida's weather, just flew into New York from Florida.,Alicia
2, is tall, relative to ,cameron's height, is 26 years old.,"Michelle,Cameron"
2,This is a long car ride, relative to ,other car rides that are shorter, is driving to work.,Lee
2, is heavy, relative to , his weight compared to others, is a dancer.,"Greg,Maya"
2,The ticket is cheap, relative to ,other ticket prices, is buying a movie ticket.,Tom
2, is heavy, relative to ,other people's weight, is a person.,"Stephanie,Gabriel"
2, is short, relative to ,other basketball players, is a professional basketball player.,"Kim,Claire"
2,This is a long car ride, relative to ,other rides that are not cross country, is driving across the country.,Jennifer
2,The office is open late, relative to ,it's normal hours, works at a call center.,Eric
2,The weather is cold, relative to ,other countries, was raised in Russia.,Alexander
2,The coffee is hot, relative to ,other days he bought coffee, is a regular at the coffee shop and buys a cup of coffee.,David
2, is short, relative to ,other greyhounds, is a greyhound.,"Angela,Julia"
2,The office is open late, relative to ,other doctor offices, is making a doctor's appointment.,Anthony
2,The coffee is hot, relative to ,her tea., takes a sip of their friend's coffee before returning back to their tea.,Kathleen
3,The weather is cold, relative to ,Russia, was raised in Russia.,Maya
3, is short, relative to ,Lucas, is a professional basketball player.,"Kathleen,Lucas"
3,The necklace is expensive, relative to ,another necklace he saw, is browsing at a jewelry store and stops to look at a necklace.,Lee
3,The ticket is cheap, relative to ,a more expensive ticket, got pulled over by a police officer.,Kim
