"workerid","super_endorsement","other_response","target","degree","super_category","adjective","other_endorsement","names","context","sub_endorsement","condition","sub_category"
0,0.48,"activities","That was short","time","entertainment","short",0.25,"Anthony"," just finished watching a youtube video.",0.88," relative to other ","youtube videos"
0,0.43,"cold drinks","It&quotechars warm","temperature","beverages","warm",0.43,"Tom"," takes a sip from a cup of iced coffee.",0.77," relative to other ","cups of iced coffee"
0,0.39,"shops","This is cheap","price","treats","cheap",0.44,"Lucas"," is buying an ice cream cone.",0.76," relative to other ","ice cream cones"
0,0.24,"iPods"," is heavy","weight","personal electronics","heavy",0.67,"Michael"," is buying an iPod shuffle and lifts it up.",0.81," relative to other ","digital music players"
0,0.19,"iPhones"," is heavy","weight","personal electronics","heavy",0.76,"Cameron"," is buying an iPhone and lifts it up.",0.84," relative to other ","phones"
0,0.59,"iced drinks","It&quotechars cold","temperature","beverages","cold",0.37,"Alexander"," takes a sip from a glass of milk.",0.72," relative to other ","glasses of milk"
0,0.29,"macs"," is light","weight","personal electronics","light",0.59,"Maya"," is buying an Apple Laptop (MacBook) and lifts it up.",0.77," relative to other ","laptop computers"
0,0.6,"refrigerator items","It&quotechars cold","temperature","beverages","cold",0.33,"Tanya"," takes a sip from a cup of coffee.",0.72," relative to other ","cups of coffee"
0,0.37,"iced drinks","It&quotechars cold","temperature","beverages","cold",0.81,"Claire"," takes a sip from a cup of iced coffee.",0.77," relative to other ","cups of iced coffee"
0,0.45,""," is short","height","people","short",0,"Daniel"," sees a 4 year-old boy.",0.69," relative to other ","4 year-old boys"
0,0.4,"","This is expensive","price","treats","expensive",0,"Josh"," is buying an ice cream cone.",0.8," relative to other ","ice cream cones"
0,0.75,"","It&quotechars warm","temperature","beverages","warm",0,"Julia"," takes a sip from a glass of milk.",0.76," relative to other ","glasses of milk"
0,0.21,""," is heavy","weight","personal electronics","heavy",0,"Gabriel"," is buying an iPad and lifts it up.",0.82," relative to other ","tablet computers"
0,0.75,"","This is expensive","price","treats","expensive",0,"Eric"," is buying a box of chocolates from the local chocolatier.",0.74," relative to other ","boxes of chocolate from the local chocolatier"
0,0.67,"","That was short","time","entertainment","short",0,"Sophie"," just finished watching a season of a television show.",0.8," relative to other ","television seasons"
0,0.24,""," is light","weight","personal electronics","light",0,"Alicia"," is buying an iPhone and lifts it up.",0.8," relative to other ","phones"
0,0.81,"","This is cheap","price","treats","cheap",0,"Charles"," is buying a box of chocolates from the local chocolatier.",0.81," relative to other ","boxes of chocolate from the local chocolatier"
0,0.48,""," is tall","height","people","tall",0,"Monica"," sees a 4 year-old boy.",0.82," relative to other ","4 year-old boys"
0,0.79,"","This is cheap","price","treats","cheap",0,"Simon"," is buying a lollipop.",0.79," relative to other ","lollipops"
0,0.4,"","That was long","time","entertainment","long",0,"Angela"," just finished watching a movie.",0.77," relative to other ","movies"
0,0.78,""," is tall","height","people","tall",0,"Jennifer"," sees a professional basketball player.",0.66," relative to other ","basketball players"
0,0.76,""," is tall","height","people","tall",0,"Melinda"," sees a 35 year-old man.",0.61," relative to other ","men in their 30s"
0,0.76,"","This is expensive","price","treats","expensive",0,"Laura"," is buying a lollipop.",0.69," relative to other ","lollipops"
0,0.44,""," is light","weight","personal electronics","light",0,"Jasmine"," is buying an iPad and lifts it up.",0.79," relative to other ","tablet computers"
0,0.37,""," is light","weight","personal electronics","light",0,"Greg"," is buying an iPod shuffle and lifts it up.",0.81," relative to other ","digital music players"
0,0.42,"","That was long","time","entertainment","long",0,"Kathleen"," just finished watching a youtube video.",0.83," relative to other ","youtube videos"
0,0.64,"","That was short","time","entertainment","short",0,"Lee"," just finished watching a movie.",0.84," relative to other ","movies"
0,0.69,""," is heavy","weight","personal electronics","heavy",0,"Gary"," is buying an Apple Laptop (MacBook) and lifts it up.",0.76," relative to other ","laptop computers"
0,0.18,""," is short","height","people","short",0,"Stephen"," sees a professional basketball player.",0.9," relative to other ","basketball players"
0,0.76,""," is short","height","people","short",0,"William"," sees a 35 year-old man.",0.57," relative to other ","men in their 30s"
0,0.55,"","It&quotechars warm","temperature","beverages","warm",0,"David"," takes a sip from a cup of coffee.",0.87," relative to other ","cups of coffee"
0,0.49,"","That was long","time","entertainment","long",0,"Stephanie"," just finished watching a season of a television show.",0.83," relative to other ","television seasons"
1,0.37,"i phones"," is heavy","weight","personal electronics","heavy",0,"Maya"," is buying an iPhone and lifts it up.",0.62," relative to other ","phones"
1,0.2,""," is short","height","people","short",0,"Michael"," sees a 35 year-old man.",0.35," relative to other ","men in their 30s"
1,0.22,"","This is expensive","price","treats","expensive",0,"Mika"," is buying an ice cream cone.",0.65," relative to other ","ice cream cones"
1,0.32,"","That was short","time","entertainment","short",0,"Michelle"," just finished watching a youtube video.",0.43," relative to other ","youtube videos"
1,0.35,""," is heavy","weight","personal electronics","heavy",0,"Charles"," is buying an iPod shuffle and lifts it up.",0.34," relative to other ","digital music players"
1,0.33,"","It&quotechars warm","temperature","beverages","warm",0,"Veronica"," takes a sip from a glass of milk.",0.49," relative to other ","glasses of milk"
1,0.24,"","It&quotechars cold","temperature","beverages","cold",0,"Jasmine"," takes a sip from a cup of coffee.",0.3," relative to other ","cups of coffee"
1,0.52,""," is tall","height","people","tall",0,"Julia"," sees a 35 year-old man.",0.43," relative to other ","men in their 30s"
1,0.31,"","That was long","time","entertainment","long",0,"John"," just finished watching a season of a television show.",0.47," relative to other ","television seasons"
1,0.28,"","That was short","time","entertainment","short",0,"Melinda"," just finished watching a movie.",0.32," relative to other ","movies"
1,0.37,""," is tall","height","people","tall",0,"Lucas"," sees a 4 year-old boy.",0.41," relative to other ","4 year-old boys"
1,0.22,""," is light","weight","personal electronics","light",0,"Sophie"," is buying an iPad and lifts it up.",0.3," relative to other ","tablet computers"
1,0.47,"","This is expensive","price","treats","expensive",0,"Lee"," is buying a lollipop.",0.52," relative to other ","lollipops"
1,0.38,"","That was short","time","entertainment","short",0,"Daniel"," just finished watching a season of a television show.",0.32," relative to other ","television seasons"
1,0.39,"","It&quotechars warm","temperature","beverages","warm",0,"Josh"," takes a sip from a cup of coffee.",0.48," relative to other ","cups of coffee"
1,0.3,""," is heavy","weight","personal electronics","heavy",0,"Gary"," is buying an Apple Laptop (MacBook) and lifts it up.",0.41," relative to other ","laptop computers"
1,0.68,""," is light","weight","personal electronics","light",0,"William"," is buying an Apple Laptop (MacBook) and lifts it up.",0.62," relative to other ","laptop computers"
1,0.23,""," is light","weight","personal electronics","light",0,"Alicia"," is buying an iPhone and lifts it up.",0.23," relative to other ","phones"
1,0.28,"","That was long","time","entertainment","long",0,"Alexander"," just finished watching a youtube video.",0.41," relative to other ","youtube videos"
1,0.52,"","This is cheap","price","treats","cheap",0,"Claire"," is buying an ice cream cone.",0.6," relative to other ","ice cream cones"
1,0.19,""," is short","height","people","short",0,"Tom"," sees a professional basketball player.",0.31," relative to other ","basketball players"
1,0.22,"","It&quotechars cold","temperature","beverages","cold",0,"Laura"," takes a sip from a cup of iced coffee.",0.26," relative to other ","cups of iced coffee"
1,0.23,"","This is cheap","price","treats","cheap",0,"David"," is buying a lollipop.",0.3," relative to other ","lollipops"
1,0.27,""," is heavy","weight","personal electronics","heavy",0,"Stephen"," is buying an iPad and lifts it up.",0.3," relative to other ","tablet computers"
1,0.23,"","This is expensive","price","treats","expensive",0,"Cameron"," is buying a box of chocolates from the local chocolatier.",0.29," relative to other ","boxes of chocolate from the local chocolatier"
1,0.57,"","It&quotechars cold","temperature","beverages","cold",0,"Monica"," takes a sip from a glass of milk.",0.44," relative to other ","glasses of milk"
1,0.16,""," is tall","height","people","tall",0,"Simon"," sees a professional basketball player.",0.23," relative to other ","basketball players"
1,0.22,"","It&quotechars warm","temperature","beverages","warm",0,"Anthony"," takes a sip from a cup of iced coffee.",0.23," relative to other ","cups of iced coffee"
1,0.37,""," is light","weight","personal electronics","light",0,"Greg"," is buying an iPod shuffle and lifts it up.",0.19," relative to other ","digital music players"
1,0.2,"","This is cheap","price","treats","cheap",0,"Eric"," is buying a box of chocolates from the local chocolatier.",0.31," relative to other ","boxes of chocolate from the local chocolatier"
