workerid,target,degree,names,context,response,condition
0,It&quotechars cold,temperature,Tanya, took a sip from a cup of coffee.,coffee, for a 
0,That was short,time,Stephanie, was talking about the traffic light that just turned green.,stop, for a 
0,It was cheap,price,Monica, bought a ticket to the movies.,the price, for a 
0, is light,weight,Kim, bought a television and lifted it up.,television, for a 
0,It was expensive,price,Lucas, bought a truck.,truck, for a 
0,It was cheap,price,Anthony, bought a truck.,truck, for a 
0,It&quotechars warm,temperature,John, took a sip from an iced coffee.,iced coffee, for a 
0, was tall,height,Veronica, saw the point guard on the local men&quotechars basketball team.,man, for a 
0, was tall,height,Kathleen, saw a tower in a European city.,tower, for a 
0,It was cheap,price,David, bought a round-trip ticket to Europe.,ticket, for a 
0,It was expensive,price,Michelle, bought a round-trip ticket to Europe.,ticket, for a 
0, was short,height,Sophie, saw a 25 year-old man.,man, for a 
0, is heavy,weight,Julia, bought a television and lifted it up.,television, for a 
0, is heavy,weight,Angela, bought a book and lifted it up.,book, for a 
0, was tall,height,Eric, saw a 4 year-old boy.,boy, for a 
0,That was short,time,Simon, was talking about the time they drove across the country.,trip, for a 
0,It was expensive,price,Stephen, bought a ticket to the movies.,ticket, for a 
0,That was long,time,Alicia, was talking about the movie they just saw.,movie, for a 
0, is heavy,weight,Michael, bought an iPhone and lifted it up.,ipone, for a 
0, was tall,height,Cameron, saw a 25 year-old man.,man, for a 
0,That was short,time,Jasmine, was talking about the movie they just saw.,movie, for a 
0, was short,height,William, saw a 4 year-old boy.,boy, for a 
0,It was cheap,price,Daniel, bought a candy bar.,candy bar, for a 
0,It&quotechars cold,temperature,Claire, took a sip from an iced coffee.,iced coffee, for a 
0, is light,weight,Lee, bought a book and lifted it up.,book, for a 
0,It&quotechars warm,temperature,Charles, took a sip from a cup of coffee.,coffee, for a 
0,It was expensive,price,Alexander, bought a candy bar.,candy bar, for a 
0, is light,weight,Mika, bought an iPhone and lifted it up.,iphone, for a 
0, was short,height,Melinda, saw the point guard on the local men&quotechars basketball team.,man, for a 
0,That was long,time,Gary, was talking about the time they drove across the country.,trip, for a 
0,That was long,time,Gabriel, was talking about the traffic light that just turned green.,traffic light, for a 
0,It&quotechars warm,temperature,Natalia, took a sip from a glass of milk.,milk, for a 
0,It&quotechars cold,temperature,Josh, took a sip from a glass of milk.,milk, for a 
0, was short,height,Tom, saw a tower in a European city.,tower, for a 
1,It was cheap,price,Gabriel, bought a round-trip ticket to Europe.,ticket, for a 
1,It was expensive,price,Stephanie, bought a round-trip ticket to Europe.,ticket, for a 
1, is light,weight,Michael, bought a book and lifted it up.,book, for a 
1,It&quotechars cold,temperature,Lucas, took a sip from an iced coffee.,coffee, for a 
1, is heavy,weight,William, bought an iPhone and lifted it up.,iPhone, for a 
1,It was expensive,price,Tanya, bought a ticket to the movies.,movie ticket, for a 
1,It was expensive,price,Kathleen, bought a candy bar.,candy bar, for a 
1,It was cheap,price,Monica, bought a truck.,truck, for a 
1, is heavy,weight,Veronica, bought a television and lifted it up.,television, for a 
1,It&quotechars warm,temperature,Tom, took a sip from a cup of coffee.,coffee, for a 
1, was tall,height,Greg, saw a 4 year-old boy.,4 year old boy, for a 
1, was tall,height,David, saw a tower in a European city.,tower, for a 
1, is light,weight,Alexander, bought an iPhone and lifted it up.,iPhone, for a 
1, was tall,height,Anthony, saw a 25 year-old man.,25 year old man, for a 
1, was short,height,Angela, saw a 25 year-old man.,25 year old man, for a 
1,That was short,time,Julia, was talking about the traffic light that just turned green.,traffic light, for a 
1,That was long,time,Simon, was talking about the time they drove across the country.,drive, for a 
1,That was long,time,John, was talking about the traffic light that just turned green.,traffic light, for a 
1,It&quotechars cold,temperature,Michelle, took a sip from a glass of milk.,glass of milk, for a 
1, was short,height,Claire, saw a tower in a European city.,tower, for a 
1,That was short,time,Jasmine, was talking about the movie they just saw.,movie, for a 
1,It was cheap,price,Eric, bought a ticket to the movies.,ticket, for a 
1, is light,weight,Natalia, bought a television and lifted it up.,television, for a 
1,That was short,time,Maya, was talking about the time they drove across the country.,drive, for a 
1, was tall,height,Gary, saw the point guard on the local men&quotechars basketball team.,point guard, for a 
1,It&quotechars warm,temperature,Lee, took a sip from a glass of milk.,glass of milk, for a 
1, was short,height,Cameron, saw a 4 year-old boy.,4 year old boy, for a 
1,It&quotechars warm,temperature,Daniel, took a sip from an iced coffee.,iced coffee, for a 
1, was short,height,Jennifer, saw the point guard on the local men&quotechars basketball team.,point guard, for a 
1, is heavy,weight,Kim, bought a book and lifted it up.,book, for a 
1,That was long,time,Stephen, was talking about the movie they just saw.,movie, for a 
1,It was cheap,price,Laura, bought a candy bar.,candy bar, for a 
1,It was expensive,price,Josh, bought a truck.,truck, for a 
1,It&quotechars cold,temperature,Sophie, took a sip from a cup of coffee.,cup of coffee, for a 
2,It&quotechars warm,temperature,Michelle, took a sip from a glass of milk.,glass of milk, for a 
2,It was cheap,price,Monica, bought a candy bar.,a candy bar, for a 
2,It&quotechars cold,temperature,Laura, took a sip from a glass of milk.,a glass of milk, for a 
2,That was short,time,John, was talking about the time they drove across the country.,cross country drive, for a 
2,It was expensive,price,Charles, bought a round-trip ticket to Europe.,for a round trip ticket to europe, for a 
2, is light,weight,Jennifer, bought a television and lifted it up.,for a television, for a 
2,It was cheap,price,Josh, bought a truck.,truck, for a 
2, was short,height,William, saw a tower in a European city.,tower, for a 
