"workerid","language","enjoyment","gender","age","problems","comments","asses","fairprice","education"
0,"english",2,"Male",31,"no",NA,"Yes",".50",3
1,"english",1,"Male",31,"no",NA,"Yes",".75",3
2,"English",1,"Male",30,"no",NA,"Yes",".50",3
3,"English",1,"Male",24,"no",NA,"No",".60",3
4,"english",1,"Female",30,"None",NA,"Yes",".50",2
5,"English",1,"Male",32,"Kind of open-ended...",NA,"Yes",".65",3
6,"English",1,"Male",56,"",NA,"Yes","yes",3
7,"english",2,"Female",31,"",NA,"Yes",".75",2
8,"English",2,"Female",23,"No.",NA,"Yes","0.50 cents",2
9,"english",1,"Male",22,"no","none","Yes","1.00",3
10,"English",1,"Female",32,"no","","Yes","50 cents",2
11,"english",1,"Female",24,"no","","Yes","0.50",2
12,"english",1,"Male",34,"no","","Yes","1",3
13,"english",1,"Male",34,"none","","No",",5",2
14,"english",1,"Female",26,"no","","Yes","0.50",1
15,"english",2,"Male",30,"no","","Yes","1.00",2
16,"English",1,"Female",68,"no","","Yes","1.00",3
17,"English",1,"Female",36,"No.","","Yes","yes",3
