workerid,stim_id,degree,context_sentence,superordinate,np,np_expectations,adj,adj_polarity,np_match,response,response_lemma,specific,matchingSuper
workerid_0014,90,width,Mika is attempting to move furniture through the back door of her house.,doorways,back door,low,wide,positive,back,furniture,furniture,0,0
workerid_0017,90,width,Alexander is attempting to move furniture through the patio door of his house.,doorways,patio door,medium,narrow,negative,patio,the furniture,furniture,0,0
workerid_0019,67,strength,Mika watches a child lift up a box.,people,child,low,strong,positive,child,box,box,0,0
workerid_0033,90,width,Melinda is attempting to move furniture through the front gate of her house.,doorways,front gate,high,wide,positive,front,furniture,furniture,0,0
workerid_0039,90,width,John is attempting to move furniture through the front gate of his house.,doorways,front gate,high,wide,positive,front,furniture,furniture,0,0
workerid_0046,90,width,Angela is attempting to move furniture through the front gate of her house.,doorways,front gate,high,wide,positive,front,furniture,furniture,0,0
workerid_0064,90,width,Jennifer is attempting to move furniture through the back door of her house.,doorways,back door,low,wide,positive,back,furniture,furniture,0,0
workerid_0068,90,width,Josh is attempting to move furniture through the patio door of his house.,doorways,patio door,medium,wide,positive,patio,pieces of furnature, furniture,0,0
workerid_0071,88,width,Stephen is standing at the bank of a stream.,waterways,stream,medium,narrow,negative,stream,bank,bank,0,0
workerid_0074,67,strength,Michelle watches a child lift up a box.,people,child,low,weak,negative,child,boxes,box,0,0
workerid_0074,54,size,Angela is at a farmer's market and picks up a kumquat.,fruit,kumquat,low,small,negative,kumquat,vegetables,vegetables,0,0
workerid_0077,90,width,Robert is attempting to move furniture through the patio door of his house.,doorways,patio door,medium,wide,positive,patio,furniture,furniture,0,0
workerid_0081,55,size,Alexander is at an aquarium and sees a herring.,fish,herring,low,big,positive,herring,birds,birds,0,0
workerid_0098,67,strength,Maya watches a teenager lift up a box.,people,teenager,medium,strong,positive,teenager,boxes,box,0,0
workerid_0104,90,width,Laura is attempting to move furniture through the back door of her house.,doorways,back door,low,wide,positive,back,furniture,furniture,0,0
workerid_0119,90,width,Natalia is attempting to move furniture through the back door of her house.,doorways,back door,low,wide,positive,back,furniture,furniture,0,0
workerid_0121,90,width,William is attempting to move furniture through the back door of his house.,doorways,back door,low,wide,positive,back,furniture,furniture,0,0
workerid_0142,90,width,Alexander is attempting to move furniture through the back door of his house.,doorways,back door,low,wide,positive,back,furniture,furniture,0,0
workerid_0177,26,length_duration,Tanya is looking at an alley on Google Maps.,roads,alley,low,long,positive,alley,maps,maps,0,0
workerid_0177,67,strength,Kim watches an adult lift up a box.,people,adult,high,strong,positive,adult,box,box,0,0
workerid_0194,67,strength,Julia watches a child lift up a box.,people,child,low,strong,positive,child,boxes,box,0,0
workerid_0198,88,width,Eric is standing at the bank of a stream.,waterways,stream,medium,wide,positive,stream,bank,bank,0,0
workerid_0203,90,width,Gary is attempting to move furniture through the patio door of his house.,doorways,patio door,medium,wide,positive,patio,furniture,furniture,0,0
workerid_0213,67,strength,Charles watches a child lift up a box.,people,child,low,strong,positive,child,boxes,box,0,0
workerid_0213,88,width,Jasmine is standing at the bank of a stream.,waterways,stream,medium,wide,positive,stream,banks,bank,0,0
workerid_0214,90,width,Monica is attempting to move furniture through the front gate of her house.,doorways,front gate,high,wide,positive,front,furniture,furniture,0,0
workerid_0217,90,width,Julia is attempting to move furniture through the patio door of her house.,doorways,patio door,medium,wide,positive,patio,pieces of furniture, furniture,0,0
workerid_0218,90,width,Alexander is attempting to move furniture through the front gate of his house.,doorways,front gate,high,wide,positive,front,furniture,furniture,0,0
workerid_0225,26,length_duration,Angela is looking at a highway on Google Maps.,roads,highway,high,short,negative,highway,map,maps,0,0
workerid_0234,67,strength,Tom watches an adult lift up a box.,people,adult,high,weak,negative,adult,boxes,box,0,0
workerid_0240,90,width,Tom is attempting to move furniture through the back door of his house.,doorways,back door,low,wide,positive,back,furniture,furniture,0,0
workerid_0243,90,width,Laura is attempting to move furniture through the back door of her house.,doorways,back door,low,wide,positive,back,furniture sizes,furniture,0,0
workerid_0244,26,length_duration,Robert is looking at a highway on Google Maps.,roads,highway,high,long,positive,highway,maps,maps,0,0
workerid_0253,90,width,Kim is attempting to move furniture through the patio door of her house.,doorways,patio door,medium,wide,positive,patio,furniture,furniture,0,0
workerid_0264,26,length_duration,Laura is looking at a street on Google Maps.,roads,street,medium,long,positive,street,maps,maps,0,0
workerid_0266,90,width,Mika is attempting to move furniture through the front gate of her house.,doorways,front gate,high,wide,positive,front,furniture,furniture,0,0
workerid_0268,67,strength,Lee watches an adult lift up a box.,people,adult,high,weak,negative,adult,boxes,box,0,0
workerid_0269,54,size,Monica is at a farmer's market and picks up a kumquat.,fruit,kumquat,low,small,negative,kumquat,vegetables,vegetables,0,0
workerid_0272,90,width,Lucas is attempting to move furniture through the back door of his house.,doorways,back door,low,wide,positive,back,furniture,furniture,0,0
workerid_0272,67,strength,Melinda watches a teenager lift up a box.,people,teenager,medium,strong,positive,teenager,boxes,box,0,0
workerid_0274,90,width,Claire is attempting to move furniture through the back door of her house.,doorways,back door,low,wide,positive,back,furniture,furniture,0,0
workerid_0276,90,width,Stephanie is attempting to move furniture through the back door of her house.,doorways,back door,low,wide,positive,back,pieces of furniture, furniture,0,0
workerid_0278,9,hardness,Anthony is at a vegetable market and picks up a tomato.,vegetables,tomato,medium,hard,positive,tomato,fruits,fruit,0,0
workerid_0293,88,width,Daniel is standing at the bank of a stream.,waterways,stream,medium,wide,positive,stream,banks,bank,0,0
workerid_0293,55,size,Simon is at an aquarium and sees a herring.,fish,herring,low,big,positive,herring,birds,birds,0,0
workerid_0294,9,hardness,Mika is at a vegetable market and picks up a tomato.,vegetables,tomato,medium,soft,negative,tomato,fruits,fruit,0,0
workerid_0306,88,width,Julia is standing at the bank of a stream.,waterways,stream,medium,wide,positive,stream,banks,bank,0,0
workerid_0311,90,width,Natalia is attempting to move furniture through the back door of her house.,doorways,back door,low,wide,positive,back,furnitures,furniture,0,0
workerid_0321,90,width,Cameron is attempting to move furniture through the back door of his house.,doorways,back door,low,wide,positive,back,furniture,furniture,0,0
workerid_0340,90,width,Simon is attempting to move furniture through the back door of his house.,doorways,back door,low,wide,positive,back,furniture,furniture,0,0
workerid_0344,67,strength,Veronica watches an adult lift up a box.,people,adult,high,weak,negative,adult,box,box,0,0
workerid_0349,90,width,Lee is attempting to move furniture through the back door of his house.,doorways,back door,low,wide,positive,back,furniture,furniture,0,0
workerid_0375,9,hardness,Kathleen is at a vegetable market and picks up a cucumber.,vegetables,cucumber,high,soft,negative,cucumber,fruits,fruit,0,0
workerid_0391,88,width,Alexander is standing at the bank of a creek.,waterways,creek,low,narrow,negative,creek,banks,bank,0,0
workerid_0396,55,size,Lucas is at an aquarium and sees a herring.,fish,herring,low,small,negative,herring,birds,birds,0,0
workerid_0410,88,width,Claire is standing at the bank of a stream.,waterways,stream,medium,wide,positive,stream,banks,bank,0,0
workerid_0415,90,width,Stephen is attempting to move furniture through the back door of his house.,doorways,back door,low,wide,positive,back,pieces of furniture, furniture,0,0
workerid_0416,55,size,Monica is at an aquarium and sees a herring.,fish,herring,low,big,positive,herring,birds,birds,0,0
workerid_0422,90,width,Michelle is attempting to move furniture through the patio door of her house.,doorways,patio door,medium,wide,positive,patio,furniture,furniture,0,0
workerid_0431,67,strength,Gabriel watches a teenager lift up a box.,people,teenager,medium,strong,positive,teenager,boxes,box,0,0
workerid_0433,90,width,Mika is attempting to move furniture through the back door of her house.,doorways,back door,low,wide,positive,back,furniture,furniture,0,0
workerid_0467,67,strength,Simon watches an adult lift up a box.,people,adult,high,strong,positive,adult,boxes,box,0,0
workerid_0468,90,width,Gary is attempting to move furniture through the front gate of his house.,doorways,front gate,high,wide,positive,front,furniture,furniture,0,0
workerid_0476,90,width,Stephen is attempting to move furniture through the patio door of his house.,doorways,patio door,medium,wide,positive,patio,furniture,furniture,0,0
workerid_0479,88,width,David is standing at the bank of a river.,waterways,river,high,narrow,negative,river,banks,bank,0,0
