stim_id,degree,context_sentence,superordinate,np,np_expectations,adj,adj_polarity,np_match,originalResponse,cat_cleaned,specific,matchingSuper,mode_np
40,loudness,Kim wants to play music and tries out an ukelele.,guitars,ukelele,low,loud,positive,ukelele,things in the room,things,0,0,guitars
42,price,Daniel is looking to rent a new place and checks out an apartment.,rentals,apartment,low,cheap,negative,apartment,costs of living,rentals,0,1,rentals
5,darkness,David is writing with a pen and notices the color of the script.,scripts,pen,medium,dark,negative,pen,scripts,script,0,0,scripts
31,loudness_n,Michelle is at a friend's place and hears her pet cat.,pets,cat,medium,quiet,negative,cat,animals,animals,0,0,pets
40,loudness,John wants to play music and tries out an acoustic guitar.,guitars,acoustic guitar,medium,loud,positive,acoustic guitar,music,music,0,0,guitars
24,length_duration,Kim sees a friend driving a pick-up truck.,vehicles,pick-up truck,medium,short,negative,pick-up,trucks,truck,0,0,vehicles
64,speed,Eric is at a friend's house and sees their pet cat come towards them.,pets,cat,medium,quick,positive,cat,animals,animals,0,0,pets
24,length_duration,Michael sees a friend driving a pick-up truck.,vehicles,pick-up truck,medium,short,negative,pick-up,pick-up trucks,pick-up truck,1,0,pick-up truck
33,loudness_n,Greg is taking a walk in a park and hears the cry of a rooster.,birds,rooster,high,loud,positive,rooster,animals,animals,0,0,birds
38,loudness,Julia is in a forest and hears a owl.,birds,owl,low,loud,positive,owl,animals,animals,0,0,birds
69,strength,Gabriel is watching a golfer lift weights.,athletes,golfer,low,weak,negative,golfer,people,people,0,0,athletes
75,temperature_h,Lee is in his kitchen and puts his hand in the oven.,locations,oven,high,warm,positive,oven,parts of the kitchen,kitchen,0,0,locations
38,loudness,Jennifer is in a forest and hears a owl.,birds,owl,low,quiet,negative,owl,parts of the forest,forest,0,0,birds
79,weight,Natalia lifts up a baby.,people,baby,low,heavy,positive,baby,small things,things,0,0,people
24,length_duration,Kathleen sees a friend driving a pick-up truck.,vehicles,pick-up truck,medium,long,positive,pick-up,pick up trucks,pick-up truck,1,0,pick-up truck
61,speed,Mika wants to cook dinner and considers using a frying pan.,cookware,frying pan,medium,quick,positive,frying pan,dinners,dinner,0,0,cookware
7,darkness,Michelle takes a walk and notices the coat of a spaniel.,dogs,spaniel,medium,light,positive,spaniel,coats,coat,0,0,dogs
