"workerid","strength","trial_num","target","degree","gender","contextWithSuper","adjective","super_category","form","names","context","contextWithSuperPronoun","response","condition","sub_category"
0,1,1,"long","time","female"," is searching for things to watch online with their friend and finds a video of a cute animal.","long","things you watch online","positive","Melinda"," finds a video of a cute animal to watch online with their friend.","","normal","contextWithSuper","video of the cute animal"
0,1,2,"heavy","weight","female"," is in the produce section of the supermarket and picks up a grape.","heavy","produce","positive","Kim"," picks up a grape.","","items","contextWithSuper","grape"
0,3,3,"warm","temperature","female"," lives in Maryland and checks the weather everyday. She looks at the weather report for today, a day in Summer.","warm","days of the year","positive","Claire"," lives in Maryland and steps outside in Summer.","She","compare to other days","contextWithSuper","day in Summer"
0,1,4," short","height","male"," is sitting at a cafe watching people go by and sees a professional gymnast.","short","people","negative","Greg"," sees a professional gymnast.","","short compare to other people","contextWithSuper","gymnast"
0,2,5,"expensive","price","female"," is browsing around a kitchen appliance store. She finds a toaster and looks at the price.","expensive","kitchen appliances","positive","Laura"," finds a toaster and looks at the price.","She","toasters","contextWithSuper","toaster"
0,2,6,"light","weight","male"," is in the produce section of the supermarket and picks up an apple.","light","produce","negative","Michael"," picks up an apple.","","apples","contextWithSuper","apple"
0,1,7,"cheap","price","female"," is browsing around a kitchen appliance store. She finds a bottle opener and looks at the price.","cheap","kitchen appliances","negative","Kim"," finds a bottle opener and looks at the price.","She","bottle openers","contextWithSuper","bottle opener"
0,1,8,"warm","temperature","female"," lives in Maryland and checks the weather everyday. She looks at the weather report for today, a day in Winter.","warm","days of the year","positive","Stephanie"," lives in Maryland and steps outside in Winter.","She","days","contextWithSuper","day in Winter"
0,2,9,"long","time","male"," is searching for things to watch online with their friend and finds a music video.","long","things you watch online","positive","Anthony"," finds a music video to watch online with their friend.","","music videos","contextWithSuper","music video"
0,3,10," tall","height","female"," is sitting at a cafe watching people go by and sees a professional basketball player.","tall","people","positive","Natalia"," sees a professional basketball player.","","basketball players","contextWithSuper","basketball player"
0,2,11,"cold","temperature","male"," lives in Maryland and checks the weather everyday. He looks at the weather report for today, a day in Fall.","cold","days of the year","negative","Alexander"," lives in Maryland and steps outside in Fall.","He","days","contextWithSuper","day in Fall"
0,3,12,"long","time","male"," is searching for things to watch online with their friend and finds a movie.","long","things you watch online","positive","Robert"," finds a movie to watch online with their friend.","","movies","contextWithSuper","movie"
0,2,13," short","height","male"," is sitting at a cafe watching people go by and sees a professional soccer player.","short","people","negative","Lucas"," sees a professional soccer player.","","soccer players","contextWithSuper","soccer player"
0,3,14,"expensive","price","male"," is browsing around a kitchen appliance store. He finds a dishwasher and looks at the price.","expensive","kitchen appliances","positive","David"," finds a dishwasher and looks at the price.","He","appliances","contextWithSuper","dishwasher"
0,3,15,"light","weight","female"," is in the produce section of the supermarket and picks up a watermelon.","light","produce","negative","Veronica"," picks up a watermelon.","","watermelons","contextWithSuper","watermelon"
1,2,1,"cheap","price","male"," is browsing around a kitchen appliance store. They finds a toaster and looks at the price.","cheap","kitchen appliances","negative","Lucas"," finds a toaster and looks at the price.","","toasters","context","toaster"
1,1,2," tall","height","female"," is sitting at a cafe watching people go by and sees a professional gymnast.","tall","people","positive","Jasmine"," sees a professional gymnast.","","people","context","gymnast"
1,2,3,"long","time","male"," is searching for things to watch online with their friend and finds a music video.","long","things you watch online","positive","Cameron"," finds a music video to watch online with their friend.","","music videos","context","music video"
1,1,4,"heavy","weight","female"," is in the produce section of the supermarket and picks up a grape.","heavy","produce","positive","Laura"," picks up a grape.","","grapes","context","grape"
1,1,5,"expensive","price","female"," is browsing around a kitchen appliance store. They finds a bottle opener and looks at the price.","expensive","kitchen appliances","positive","Melinda"," finds a bottle opener and looks at the price.","","bottle openers","context","bottle opener"
1,1,6,"long","time","male"," is searching for things to watch online with their friend and finds a video of a cute animal.","long","things you watch online","positive","Stephen"," finds a video of a cute animal to watch online with their friend.","","videos","context","video of the cute animal"
1,1,7,"warm","temperature","female"," lives in Maryland and checks the weather everyday. They looks at the weather report for today, a day in Winter.","warm","days of the year","positive","Natalia"," lives in Maryland and steps outside in Winter.","","winter days","context","day in Winter"
1,2,8,"heavy","weight","male"," is in the produce section of the supermarket and picks up an apple.","heavy","produce","positive","Lee"," picks up an apple.","","apples","context","apple"
1,3,9,"cold","temperature","female"," lives in Maryland and checks the weather everyday. They looks at the weather report for today, a day in Summer.","cold","days of the year","negative","Kathleen"," lives in Maryland and steps outside in Summer.","","summer days","context","day in Summer"
1,3,10," tall","height","female"," is sitting at a cafe watching people go by and sees a professional basketball player.","tall","people","positive","Julia"," sees a professional basketball player.","","people","context","basketball player"
1,3,11,"short","time","female"," is searching for things to watch online with their friend and finds a movie.","short","things you watch online","negative","Kim"," finds a movie to watch online with their friend.","","movies","context","movie"
1,3,12,"expensive","price","female"," is browsing around a kitchen appliance store. They finds a dishwasher and looks at the price.","expensive","kitchen appliances","positive","Monica"," finds a dishwasher and looks at the price.","","dishwashers","context","dishwasher"
1,3,13,"heavy","weight","female"," is in the produce section of the supermarket and picks up a watermelon.","heavy","produce","positive","Angela"," picks up a watermelon.","","fruits","context","watermelon"
1,2,14," tall","height","male"," is sitting at a cafe watching people go by and sees a professional soccer player.","tall","people","positive","Gary"," sees a professional soccer player.","","soccer players","context","soccer player"
1,2,15,"warm","temperature","female"," lives in Maryland and checks the weather everyday. They looks at the weather report for today, a day in Fall.","warm","days of the year","positive","Claire"," lives in Maryland and steps outside in Fall.","","days","context","day in Fall"
2,1,1,"expensive","price","male"," is browsing around a kitchen appliance store. They finds a bottle opener and looks at the price.","expensive","kitchen appliances","positive","Eric"," finds a bottle opener and looks at the price.","","bottle openers","context","bottle opener"
2,3,2,"long","time","female"," is searching for things to watch online with their friend and finds a movie.","long","things you watch online","positive","Jasmine"," finds a movie to watch online with their friend.","","lines","context","movie"
2,1,3,"light","weight","female"," is in the produce section of the supermarket and picks up a grape.","light","produce","negative","Natalia"," picks up a grape.","","fruits","context","grape"
2,1,4,"cold","temperature","male"," lives in Maryland and checks the weather everyday. They looks at the weather report for today, a day in Winter.","cold","days of the year","negative","Gary"," lives in Maryland and steps outside in Winter.","","days in winter","context","day in Winter"
2,1,5,"long","time","female"," is searching for things to watch online with their friend and finds a video of a cute animal.","long","things you watch online","positive","Alicia"," finds a video of a cute animal to watch online with their friend.","","videos of cute animals","context","video of the cute animal"
2,1,6," short","height","male"," is sitting at a cafe watching people go by and sees a professional gymnast.","short","people","negative","Robert"," sees a professional gymnast.","","professional gymnasts","context","gymnast"
2,3,7,"cheap","price","male"," is browsing around a kitchen appliance store. They finds a dishwasher and looks at the price.","cheap","kitchen appliances","negative","Anthony"," finds a dishwasher and looks at the price.","","dishwashers","context","dishwasher"
2,3,8," tall","height","male"," is sitting at a cafe watching people go by and sees a professional basketball player.","tall","people","positive","John"," sees a professional basketball player.","","professional basketball players","context","basketball player"
2,2,9,"expensive","price","female"," is browsing around a kitchen appliance store. They finds a toaster and looks at the price.","expensive","kitchen appliances","positive","Melinda"," finds a toaster and looks at the price.","","toasters","context","toaster"
2,3,10,"warm","temperature","male"," lives in Maryland and checks the weather everyday. They looks at the weather report for today, a day in Summer.","warm","days of the year","positive","Cameron"," lives in Maryland and steps outside in Summer.","","days in summer ","context","day in Summer"
2,3,11,"light","weight","male"," is in the produce section of the supermarket and picks up a watermelon.","light","produce","negative","Lucas"," picks up a watermelon.","","watermelons","context","watermelon"
2,2,12,"short","time","female"," is searching for things to watch online with their friend and finds a music video.","short","things you watch online","negative","Veronica"," finds a music video to watch online with their friend.","","music videos","context","music video"
2,2,13,"heavy","weight","male"," is in the produce section of the supermarket and picks up an apple.","heavy","produce","positive","William"," picks up an apple.","","apples","context","apple"
2,2,14,"cold","temperature","female"," lives in Maryland and checks the weather everyday. They looks at the weather report for today, a day in Fall.","cold","days of the year","negative","Claire"," lives in Maryland and steps outside in Fall.","","days in fall","context","day in Fall"
2,2,15," short","height","female"," is sitting at a cafe watching people go by and sees a professional soccer player.","short","people","negative","Mika"," sees a professional soccer player.","","professional soccer players","context","soccer player"
3,1,1,"warm","temperature","male"," lives in Maryland and checks the weather everyday. They looks at the weather report for today, a day in Winter.","warm","days of the year","positive","Cameron"," lives in Maryland and steps outside in Winter.","","winters","context","day in Winter"
3,3,2,"cheap","price","female"," is browsing around a kitchen appliance store. They finds a dishwasher and looks at the price.","cheap","kitchen appliances","negative","Veronica"," finds a dishwasher and looks at the price.","","dishwashers","context","dishwasher"
3,2,3,"warm","temperature","male"," lives in Maryland and checks the weather everyday. They looks at the weather report for today, a day in Fall.","warm","days of the year","positive","Greg"," lives in Maryland and steps outside in Fall.","","years","context","day in Fall"
3,1,4,"long","time","male"," is searching for things to watch online with their friend and finds a video of a cute animal.","long","things you watch online","positive","Charles"," finds a video of a cute animal to watch online with their friend.","","videos of the same nature","context","video of the cute animal"
3,2,5,"light","weight","female"," is in the produce section of the supermarket and picks up an apple.","light","produce","negative","Mika"," picks up an apple.","","apples","context","apple"
3,1,6," short","height","male"," is sitting at a cafe watching people go by and sees a professional gymnast.","short","people","negative","Stephen"," sees a professional gymnast.","","gymnasts","context","gymnast"
3,2,7,"short","time","male"," is searching for things to watch online with their friend and finds a music video.","short","things you watch online","negative","Simon"," finds a music video to watch online with their friend.","","videos","context","music video"
3,1,8,"light","weight","female"," is in the produce section of the supermarket and picks up a grape.","light","produce","negative","Maya"," picks up a grape.","","grapes","context","grape"
3,3,9," short","height","female"," is sitting at a cafe watching people go by and sees a professional basketball player.","short","people","negative","Tanya"," sees a professional basketball player.","","basketball players","context","basketball player"
3,3,10,"warm","temperature","female"," lives in Maryland and checks the weather everyday. They looks at the weather report for today, a day in Summer.","warm","days of the year","positive","Natalia"," lives in Maryland and steps outside in Summer.","","days in the summer","context","day in Summer"
3,3,11,"short","time","male"," is searching for things to watch online with their friend and finds a movie.","short","things you watch online","negative","Gary"," finds a movie to watch online with their friend.","","videos","context","movie"
3,1,12,"expensive","price","female"," is browsing around a kitchen appliance store. They finds a bottle opener and looks at the price.","expensive","kitchen appliances","positive","Kim"," finds a bottle opener and looks at the price.","","bottle openers","context","bottle opener"
3,3,13,"light","weight","male"," is in the produce section of the supermarket and picks up a watermelon.","light","produce","negative","Anthony"," picks up a watermelon.","","watermelons","context","watermelon"
3,2,14,"cheap","price","female"," is browsing around a kitchen appliance store. They finds a toaster and looks at the price.","cheap","kitchen appliances","negative","Michelle"," finds a toaster and looks at the price.","","toasters","context","toaster"
3,2,15," tall","height","male"," is sitting at a cafe watching people go by and sees a professional soccer player.","tall","people","positive","Alexander"," sees a professional soccer player.","","soccer players","context","soccer player"
4,2,1,"expensive","price","female"," is browsing around a kitchen appliance store. They finds a toaster and looks at the price.","expensive","kitchen appliances","positive","Kim"," finds a toaster and looks at the price.","","toasters","context","toaster"
4,2,2,"long","time","male"," is searching for things to watch online with their friend and finds a music video.","long","things you watch online","positive","Eric"," finds a music video to watch online with their friend.","","videos","context","music video"
4,3,3,"expensive","price","male"," is browsing around a kitchen appliance store. They finds a dishwasher and looks at the price.","expensive","kitchen appliances","positive","Tom"," finds a dishwasher and looks at the price.","","dishwashers","context","dishwasher"
4,3,4,"warm","temperature","female"," lives in Maryland and checks the weather everyday. They looks at the weather report for today, a day in Summer.","warm","days of the year","positive","Jasmine"," lives in Maryland and steps outside in Summer.","","days","context","day in Summer"
4,2,5," short","height","female"," is sitting at a cafe watching people go by and sees a professional soccer player.","short","people","negative","Michelle"," sees a professional soccer player.","","soccer players","context","soccer player"
4,1,6,"long","time","male"," is searching for things to watch online with their friend and finds a video of a cute animal.","long","things you watch online","positive","Michael"," finds a video of a cute animal to watch online with their friend.","","videos","context","video of the cute animal"
4,2,7,"warm","temperature","female"," lives in Maryland and checks the weather everyday. They looks at the weather report for today, a day in Fall.","warm","days of the year","positive","Laura"," lives in Maryland and steps outside in Fall.","","days","context","day in Fall"
4,3,8,"long","time","female"," is searching for things to watch online with their friend and finds a movie.","long","things you watch online","positive","Kathleen"," finds a movie to watch online with their friend.","","movies","context","movie"
4,3,9,"heavy","weight","female"," is in the produce section of the supermarket and picks up a watermelon.","heavy","produce","positive","Tanya"," picks up a watermelon.","","watermelons","context","watermelon"
4,1,10,"warm","temperature","male"," lives in Maryland and checks the weather everyday. They looks at the weather report for today, a day in Winter.","warm","days of the year","positive","Greg"," lives in Maryland and steps outside in Winter.","","Winter days","context","day in Winter"
4,2,11,"heavy","weight","male"," is in the produce section of the supermarket and picks up an apple.","heavy","produce","positive","Cameron"," picks up an apple.","","apples","context","apple"
4,3,12," tall","height","female"," is sitting at a cafe watching people go by and sees a professional basketball player.","tall","people","positive","Maya"," sees a professional basketball player.","","people","context","basketball player"
4,1,13,"heavy","weight","male"," is in the produce section of the supermarket and picks up a grape.","heavy","produce","positive","Simon"," picks up a grape.","","grapes","context","grape"
4,1,14," tall","height","female"," is sitting at a cafe watching people go by and sees a professional gymnast.","tall","people","positive","Julia"," sees a professional gymnast.","","gymnasts","context","gymnast"
4,1,15,"expensive","price","female"," is browsing around a kitchen appliance store. They finds a bottle opener and looks at the price.","expensive","kitchen appliances","positive","Stephanie"," finds a bottle opener and looks at the price.","","bottle openers","context","bottle opener"
5,3,1,"warm","temperature","male"," lives in Maryland and checks the weather everyday. He looks at the weather report for today, a day in Summer.","warm","days of the year","positive","Anthony"," lives in Maryland and steps outside in Summer.","He","days during the season","contextWithSuper","day in Summer"
5,2,2,"short","time","female"," is searching for things to watch online with their friend and finds a music video.","short","things you watch online","negative","Melinda"," finds a music video to watch online with their friend.","","music videos","contextWithSuper","music video"
5,1,3,"cold","temperature","male"," lives in Maryland and checks the weather everyday. He looks at the weather report for today, a day in Winter.","cold","days of the year","negative","Lucas"," lives in Maryland and steps outside in Winter.","He","days during that season","contextWithSuper","day in Winter"
5,2,4,"heavy","weight","female"," is in the produce section of the supermarket and picks up an apple.","heavy","produce","positive","Julia"," picks up an apple.","","fruits","contextWithSuper","apple"
5,1,5," short","height","female"," is sitting at a cafe watching people go by and sees a professional gymnast.","short","people","negative","Natalia"," sees a professional gymnast.","","male gymnasts","contextWithSuper","gymnast"
5,2,6,"warm","temperature","female"," lives in Maryland and checks the weather everyday. She looks at the weather report for today, a day in Fall.","warm","days of the year","positive","Jasmine"," lives in Maryland and steps outside in Fall.","She","typical days in the fall","contextWithSuper","day in Fall"
5,1,7,"cheap","price","male"," is browsing around a kitchen appliance store. He finds a bottle opener and looks at the price.","cheap","kitchen appliances","negative","John"," finds a bottle opener and looks at the price.","He","bottle openers","contextWithSuper","bottle opener"
