"workerid","super_endorsement","strength","target","degree","paraphrase0","gender","condition","contextWithSuper","adjective","super_category","form","names","context","paraphrase1","sub_endorsement","contextWithSuperPronoun","sub_category"
0,0.13,2,"expensive","price","sub_plural","female","context"," is at a kitchen appliance store and is looking at a toaster.","expensive","kitchen appliances","positive","Mika"," is buying a toaster.","super",0.91,"","toaster"
0,0.08,3,"cold","temperature","sub_plural","male","context"," lives in Maryland and checks the weather everyday. They looks at the weather report for today, a day in Summer.","cold","days of the year","positive","Stephen"," lives in Maryland and steps outside in Summer.","super",0.83,"","day in Summer"
0,0.05,1,"heavy","weight","sub_plural","female","context"," is in the produce section of the supermarket and picks up a grape.","heavy","produce","positive","Alicia"," picks up a grape.","super",0.91,"","grape"
0,0.27,3,"cheap","price","sub_plural","male","context"," is at a kitchen appliance store and is looking at an oven.","cheap","kitchen appliances","positive","William"," is buying an oven.","super",0.92,"","oven"
0,0.08,1,"warm","temperature","sub_plural","male","context"," lives in Maryland and checks the weather everyday. They looks at the weather report for today, a day in Winter.","warm","days of the year","positive","Alexander"," lives in Maryland and steps outside in Winter.","super",0.94,"","day in Winter"
0,0.26,2,"light","weight","sub_plural","male","context"," is in the produce section of the supermarket and picks up an apple.","light","produce","positive","Josh"," picks up an apple.","super",0.59,"","apple"
0,0.18,1," tall","height","sub_plural","female","context"," is sitting at a cafe watching people go by and sees a professional gymnast.","tall","people","positive","Kim"," sees a professional gymnast.","super",0.91,"","gymnast"
0,0.04,3,"light","weight","sub_plural","female","context"," is in the produce section of the supermarket and picks up a watermelon.","light","produce","positive","Natalia"," picks up a watermelon.","super",0.89,"","watermelon"
0,0.35,2,"cold","temperature","sub_plural","female","context"," lives in Maryland and checks the weather everyday. They looks at the weather report for today, a day in Fall.","cold","days of the year","positive","Jasmine"," lives in Maryland and steps outside in Fall.","super",0.75,"","day in Fall"
0,0.28,3," short","height","sub_plural","male","context"," is sitting at a cafe watching people go by and sees a professional basketball player.","short","people","positive","Michael"," sees a professional basketball player.","super",0.84,"","basketball player"
0,0.26,3,"short","time","sub_plural","male","context"," is searching for things to watch online with their friend and finds a movie.","short","things you watch online","positive","Daniel"," finds a lecture to watch online with their friend.","super",0.94,"","movie"
0,0.08,1,"expensive","price","sub_plural","female","context"," is at a kitchen appliance store and is looking at a can opener.","expensive","kitchen appliances","positive","Kim"," is buying a can opener.","super",0.94,"","can opener"
0,0.33,2,"short","time","sub_plural","male","context"," is searching for things to watch online with their friend and finds a music video.","short","things you watch online","positive","Eric"," finds a music video to watch online with their friend.","super",0.84,"","music video"
0,0.46,2," short","height","sub_plural","female","context"," is sitting at a cafe watching people go by and sees a professional soccer player.","short","people","positive","Kathleen"," sees a professional soccer player.","super",0.47,"","soccer player"
0,0.49,1,"long","time","sub_plural","male","context"," is searching for things to watch online with their friend and finds a video of a cute animal.","long","things you watch online","positive","Tom"," finds a video of a cute animal to watch online with their friend.","super",0.69,"","video of the cute animal"
1,0.87,2," tall","height","sub_plural","male","contextWithSuper"," is sitting at a cafe watching people go by and sees a professional soccer player.","tall","people","positive","Anthony"," sees a professional soccer player.","super",0.54,"","soccer player"
1,0.32,1,"expensive","price","sub_plural","male","contextWithSuper"," is at a kitchen appliance store and is looking at a can opener.","expensive","kitchen appliances","positive","Tom"," is buying a can opener.","super",0.79,"","can opener"
1,0.14,1,"warm","temperature","sub_plural","female","contextWithSuper"," lives in Maryland and checks the weather everyday. She looks at the weather report for today, a day in Winter.","warm","days of the year","positive","Michelle"," lives in Maryland and steps outside in Winter.","super",0.86,"She","day in Winter"
1,0.3,3,"cheap","price","sub_plural","male","contextWithSuper"," is at a kitchen appliance store and is looking at an oven.","cheap","kitchen appliances","positive","Josh"," is buying an oven.","super",0.77,"","oven"
1,0.74,3," short","height","sub_plural","female","contextWithSuper"," is sitting at a cafe watching people go by and sees a professional basketball player.","short","people","positive","Veronica"," sees a professional basketball player.","super",0.44,"","basketball player"
1,0.24,3,"short","time","sub_plural","male","contextWithSuper"," is searching for things to watch online with their friend and finds a movie.","short","things you watch online","positive","Robert"," finds a lecture to watch online with their friend.","super",0.83,"","movie"
1,0.12,2,"expensive","price","sub_plural","female","contextWithSuper"," is at a kitchen appliance store and is looking at a toaster.","expensive","kitchen appliances","positive","Julia"," is buying a toaster.","super",0.78,"","toaster"
